Date_Time,Q_recorded,Q_predicted_1,Q_diff,Q_sqr_diff
1993-01-07 01:40:00,0.035,0.008,-0.027000000000000003,0.0007290000000000002
1993-01-07 01:45:00,0.035,0.007,-0.028000000000000004,0.0007840000000000002
1993-01-07 01:50:00,0.036,0.006,-0.03,0.0009
1993-01-07 01:55:00,0.036,0.006,-0.03,0.0009
1993-01-07 02:00:00,0.036,0.005,-0.030999999999999996,0.0009609999999999997
1993-01-07 02:05:00,0.036,0.005,-0.030999999999999996,0.0009609999999999997
1993-01-07 02:10:00,0.036,0.004,-0.032,0.001024
1993-01-07 02:15:00,0.036,0.004,-0.032,0.001024
1993-01-07 02:20:00,0.036,0.003,-0.032999999999999995,0.0010889999999999997
1993-01-07 02:25:00,0.036,0.003,-0.032999999999999995,0.0010889999999999997
1993-01-07 02:30:00,0.038,0.003,-0.034999999999999996,0.0012249999999999997
1993-01-07 02:35:00,0.038,0.002,-0.036,0.0012959999999999998
1993-01-07 02:40:00,0.038,0.002,-0.036,0.0012959999999999998
1993-01-07 02:45:00,0.038,0.002,-0.036,0.0012959999999999998
1993-01-07 02:50:00,0.038,0.002,-0.036,0.0012959999999999998
1993-01-07 02:55:00,0.038,0.002,-0.036,0.0012959999999999998
1993-01-07 03:00:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:05:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:10:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:15:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:20:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:25:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:30:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:35:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:40:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:45:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:50:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 03:55:00,0.038,0.001,-0.037,0.0013689999999999998
1993-01-07 04:00:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:05:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:10:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:15:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:20:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:25:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:30:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:35:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:40:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:45:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:50:00,0.038,0.0,-0.038,0.001444
1993-01-07 04:55:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:00:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:05:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:10:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:15:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:20:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:25:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:30:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:35:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:40:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:45:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:50:00,0.038,0.0,-0.038,0.001444
1993-01-07 05:55:00,0.038,0.0,-0.038,0.001444
1993-01-07 06:00:00,0.038,0.0,-0.038,0.001444
